Unnamed: 0,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,song_title,artist
0,0.0102,0.833,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,0.28600000000000003,Mask Off,Future
1,0.19899999999999998,0.743,0.359,0.00611,1,0.13699999999999998,-10.401,1,0.0794,160.083,0.588,Redbone,Childish Gambino
2,0.0344,0.838,0.41200000000000003,0.000234,2,0.159,-7.148,1,0.289,75.044,0.17300000000000001,Xanny Family,Future
3,0.604,0.494,0.33799999999999997,0.51,5,0.0922,-15.235999999999999,1,0.0261,86.46799999999999,0.23,Master Of None,Beach House
4,0.18,0.6779999999999999,0.561,0.512,5,0.439,-11.648,0,0.0694,174.00400000000002,0.904,Parallel Lines,Junior Boys
5,0.00479,0.804,0.56,0.0,8,0.16399999999999998,-6.682,1,0.185,85.023,0.264,Sneakin’,Drake
6,0.0145,0.7390000000000001,0.47200000000000003,7.27e-06,1,0.207,-11.204,1,0.156,80.03,0.308,Childs Play,Drake
7,0.0202,0.266,0.348,0.664,10,0.16,-11.609000000000002,0,0.0371,144.154,0.39299999999999996,Gyöngyhajú lány,Omega
8,0.0481,0.603,0.9440000000000001,0.0,11,0.342,-3.6260000000000003,0,0.34700000000000003,130.035,0.39799999999999996,I've Seen Footage,Death Grips
9,0.0020800000000000003,0.836,0.603,0.0,7,0.5710000000000001,-7.792000000000001,1,0.237,99.994,0.386,Digital Animal,Honey Claws
10,0.0572,0.525,0.855,0.0143,5,0.649,-7.372000000000001,0,0.0548,111.95100000000001,0.524,Subways - In Flagranti Extended Edit,The Avalanches
11,0.0915,0.753,0.748,0.0034799999999999996,10,0.212,-8.62,1,0.0494,104.322,0.642,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
12,0.253,0.603,0.434,0.0619,0,0.10800000000000001,-11.062000000000001,1,0.0342,127.681,0.381,Cemalim,Erkin Koray
13,0.366,0.762,0.47600000000000003,0.0,0,0.10300000000000001,-12.686,1,0.114,130.007,0.36700000000000005,One Night,Lil Yachty
14,0.44,0.662,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.01100000000001,0.35100000000000003,Oh lala,PNL
15,0.019,0.637,0.8320000000000001,0.0563,6,0.316,-6.6370000000000005,1,0.163,99.988,0.317,Char,Crystal Castles
16,0.0239,0.603,0.955,0.0451,1,0.11900000000000001,-4.111000000000001,1,0.0458,123.92200000000001,0.773,World In Motion,New Order
17,0.233,0.789,0.659,0.00049,4,0.184,-12.654000000000002,0,0.0429,122.415,0.8420000000000001,One Nation Under a Groove,Funkadelic
18,0.314,0.713,0.611,0.0,1,0.11699999999999999,-6.702000000000001,0,0.24100000000000002,140.061,0.7829999999999999,Bouncin,Chief Keef
19,0.0242,0.735,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.98200000000001,0.763,C O O L - Radio Edit,Le Youth
20,0.0007019999999999999,0.8540000000000001,0.7190000000000001,0.308,10,0.428,-9.335,0,0.0655,128.049,0.47100000000000003,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
21,0.00023999999999999998,0.747,0.74,0.369,1,0.0995,-4.1339999999999995,1,0.0323,130.031,0.77,House of Jealous Lovers,The Rapture
22,0.11800000000000001,0.8540000000000001,0.401,0.0,9,0.527,-8.552999999999999,1,0.395,139.922,0.441,Imma Ride,Young Thug
23,0.000596,0.22399999999999998,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.02200000000002,0.364,Girlfriend,Ty Segall
24,0.27899999999999997,0.512,0.564,1.5399999999999998e-05,10,0.133,-5.892,1,0.0316,94.49799999999999,0.401,If I Gave You My Love,Myron & E
25,0.0021899999999999997,0.7809999999999999,0.795,0.26899999999999996,7,0.0673,-6.757999999999999,1,0.036000000000000004,109.977,0.795,This Ready Flesh,TR/ST
26,0.341,0.41100000000000003,0.684,1.42e-06,11,0.198,-6.888999999999999,0,0.38299999999999995,110.016,0.598,Lose My Mind,A-Trak
27,0.018000000000000002,0.6459999999999999,0.8370000000000001,0.0403,6,0.316,-6.615,1,0.134,100.04,0.32,Char,Crystal Castles
28,0.0516,0.782,0.5720000000000001,0.0,4,0.33,-7.4670000000000005,0,0.0385,120.021,0.237,Look Alive,Rae Sremmurd
29,0.282,0.735,0.4,0.125,1,0.0811,-12.765999999999998,1,0.102,129.004,0.326,Please Stop Making Fake Versace,Father
30,0.007909999999999999,0.45,0.449,0.0,2,0.17300000000000001,-12.037,1,0.156,135.45,0.13699999999999998,Milly Rock,2milly
31,0.0219,0.897,0.642,1.31e-06,2,0.159,-8.828,1,0.0534,127.984,0.27,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign
32,0.0358,0.9590000000000001,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,0.424,Best Friend,Young Thug
33,0.0324,0.742,0.5589999999999999,0.0,5,0.0987,-5.876,1,0.141,146.923,0.429,Hercules,Young Thug
34,0.11800000000000001,0.805,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,0.6829999999999999,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
35,0.0428,0.667,0.581,0.0,0,0.183,-5.164,0,0.32299999999999995,110.95299999999999,0.37200000000000005,Check,Young Thug
36,0.297,0.722,0.823,0.0,7,0.489,-3.9160000000000004,1,0.081,148.23,0.855,Poppin' My Collar,Three 6 Mafia
37,0.0565,0.853,0.547,0.0,1,0.341,-7.535,1,0.19399999999999998,142.065,0.677,Jumpman,Drake
38,0.0128,0.747,0.705,0.0,9,0.126,-5.1370000000000005,0,0.126,136.024,0.5710000000000001,7/11,Beyoncé
39,0.135,0.777,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,0.848,Somebody's Watching Me,Rockwell
40,0.00041,0.731,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,0.622,Bang That,Disclosure
41,0.0035600000000000002,0.76,0.402,0.0,8,0.33299999999999996,-8.751,1,0.16399999999999998,147.028,0.069,I Don't Sell Molly No More,ILoveMakonnen
42,0.00156,0.624,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,0.318,Versace Python,Riff Raff
43,0.00243,0.621,0.6829999999999999,0.00856,11,0.525,-5.619,0,0.242,124.28299999999999,0.0891,Monster,Kanye West
44,0.5329999999999999,0.64,0.8190000000000001,0.0,7,0.156,-4.1080000000000005,1,0.455,166.012,0.624,OOOUUU,Young M.A.
45,0.0063100000000000005,0.715,0.833,0.0,2,0.16399999999999998,-5.379,1,0.10800000000000001,95.48700000000001,0.607,Return Of The Mack - C & J Street Mix,Mark Morrison
46,0.00182,0.7,0.7559999999999999,0.711,2,0.0575,-10.714,1,0.0575,114.28,0.9470000000000001,Fantastic Man,William Onyeabor
47,0.0923,0.789,0.494,0.000408,1,0.14400000000000002,-13.702,1,0.0456,104.59299999999999,0.8320000000000001,Right Place Wrong Time,Dr. John
48,0.375,0.7959999999999999,0.86,0.00457,5,0.0745,-6.202000000000001,0,0.0653,129.00799999999998,0.973,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
49,0.183,0.716,0.9570000000000001,0.057999999999999996,3,0.182,-4.814,1,0.0689,106.714,0.93,Odofo Nyi Akyiri Biara,Ebo Taylor
50,0.0185,0.74,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,0.852,Annie,Neon Indian
51,0.0638,0.7,0.84,0.11199999999999999,7,0.141,-6.227,0,0.0292,132.475,0.745,The Chase,Future Islands
52,0.456,0.514,0.45299999999999996,0.000181,6,0.17800000000000002,-7.062,1,0.0267,75.548,0.532,Coming Home,Leon Bridges
53,0.128,0.313,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,0.18600000000000003,Wishes,Beach House
54,0.24600000000000002,0.6759999999999999,0.528,0.0,7,0.0803,-8.699,1,0.0366,130.07299999999998,0.301,White Iverson,Post Malone
55,0.12,0.532,0.596,0.0,11,0.504,-9.912,0,0.187,119.296,0.486,I Know There's Gonna Be (Good Times),Jamie xx
56,0.00426,0.6459999999999999,0.629,0.27699999999999997,8,0.122,-10.775,0,0.0427,109.01299999999999,0.17600000000000002,Loud Places,Jamie xx
57,0.193,0.598,0.252,0.138,2,0.0992,-15.085999999999999,1,0.0647,120.06,0.0359,L$D,A$AP Rocky
58,0.0174,0.754,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,0.599,Dopeman,Vince Staples
59,0.000392,0.294,0.7859999999999999,0.865,2,0.272,-3.6260000000000003,1,0.0378,81.108,0.136,California Nights,Best Coast
